Unnamed: 0,adress3,City3,zip_code3,bad3,bath3,Area3,parking3,AC3,Appliances3,price2,Dishwasher1,Refrigerator1,Disposal1,Microwave1,country
532,42 LINCOLN BLVD LOWR,"Buffalo, NY",14217.0,3,1,"2,648",No Info,No Info,1,128836.0,no,no,no,no,USA
533,1044 ELMWOOD AVE,"Buffalo, NY",14222.0,3,1,"1,147",No Info,No Info,1,124680.0,no,no,no,no,USA
534,561 ONTARIO ST,"Buffalo, NY",14207.0,2,1,"8,005",No Info,Yes,1,74808.0,no,no,no,no,USA
535,200 ABBOTT RD,"Buffalo, NY",14220.0,3,1,"2,388",No Info,No Info,1,108056.0,no,no,no,no,USA
536,56 TRINITY PL APT 1,"Buffalo, NY",14201.0,—,1,500,No Info,No Info,1,78964.0,no,no,no,no,USA
537,538 LINWOOD AVE,"Buffalo, NY",14209.0,2,1,950,No Info,Yes,1,140888.0,no,no,no,no,USA
538,302 PLYMOUTH AVE REAR 3,"Buffalo, NY",14213.0,3,1,"1,100",No Info,No Info,1,124680.0,no,no,no,no,USA
539,398 EMSLIE ST,"Buffalo, NY",14206.0,4,2,"2,816",No Info,No Info,1,124680.0,no,no,no,no,USA
540,77 WEST AVE REAR,"Buffalo, NY",14201.0,1,1,500,No Info,No Info,1,99744.0,no,no,no,no,USA
541,351 ROESCH AVE,"Buffalo, NY",14207.0,1,1,"1,688",No Info,Yes,1,74808.0,no,no,no,no,USA
542,422 SKILLEN ST APT 12,"Buffalo, NY",14207.0,2,1,650,No Info,No Info,1,0.0,no,no,no,no,USA
543,96 ACADEMY RD,"Buffalo, NY",14211.0,3,1,"2,247",No Info,Yes,1,112212.0,no,no,no,no,USA
544,202 STEVENS AVE,"Buffalo, NY",14215.0,5,1,"1,192",No Info,No Info,1,99744.0,no,no,no,no,USA
545,1168 TONAWANDA ST,"Buffalo, NY",14207.0,2,1,"1,217",No Info,No Info,1,99744.0,no,no,no,no,USA
546,53 ELMWOOD AVE APT 1,"Buffalo, NY",14201.0,1,1,500,No Info,No Info,1,78964.0,no,no,no,no,USA
547,406 LAKEFRONT BLVD,"Buffalo, NY",14202.0,2,3,"1,532",No Info,Yes,2,274296.0,no,no,no,no,USA
548,100 MULBERRY ST # 2,"Buffalo, NY",14204.0,2,1,"1,684",No Info,No Info,1,99744.0,no,no,no,no,USA
549,88 FLORIDA ST,"Buffalo, NY",14208.0,3,1,"1,296",No Info,Yes,1,137148.0,no,no,no,no,USA
550,1017 LAFAYETTE AVE,"Buffalo, NY",14209.0,2,2,"1,400",No Info,Yes,1,191176.0,no,no,no,no,USA
551,891 RICHMOND AVE LOWR,"Buffalo, NY",14222.0,3,1,"2,352",No Info,Yes,1,155850.0,no,no,no,no,USA
552,82 HAZELWOOD AVE,"Buffalo, NY",14215.0,2,1,"1,903",No Info,No Info,1,83120.0,no,no,no,no,USA
553,286 W TUPPER ST # 2,"Buffalo, NY",14201.0,1,3,"2,892",No Info,Yes,3,124680.0,no,no,no,no,USA
554,286 W TUPPER ST # 3,"Buffalo, NY",14201.0,1,1,"2,892",No Info,Yes,1,141304.0,no,no,no,no,USA
555,561 ONTARIO ST,"Buffalo, NY",14207.0,2,1,"8,005",No Info,Yes,1,74808.0,no,no,no,no,USA
556,234 OXFORD AVE UPPR,"Buffalo, NY",14209.0,3,1,"1,200",No Info,No Info,1,116368.0,no,no,no,no,USA
557,54 PLYMOUTH AVE,"Buffalo, NY",14201.0,3,2,"2,000",No Info,Yes,1,224424.0,no,no,no,no,USA
